ID,District,ProjectStartDate,ProposedDateOfCompletion,ProjectID,ProjectID2,ApartmentType,ApartmentCarpetArea,ApartmentNumber,BookedApartment,percentage booked,CreatedOn,AreaOfExclusiveVeranda,AreaOfExclusiveBalcony,AreaOfExclusiveOpenTerrace,ShareOfCommonArea,TotalArea,ApartmentTypeDD,AreaOfExternalWall,Internal Roads & Footpaths,Visitors Parking,"Water conservation, Rain water harvesting",Energy Management,Fire protection and Fire safety requirements,"Electrical meter room, Sub-station, Receiving station",Aggregate area of recreational open space,Open parking,Water supply,"Sewerage (Chamber, Lines, Septic tank, STP)",Storm water drains,Landscaping & Tree planting,Street lighting,Community buildings,Treatment and disposal of sewage and sullage water,Solid waste management and disposal,Public health services,Servant's room with attached toilet,Driver's room with attached toilet,Intercom facility,Outdoor gathering pavilion,Association room,Security cameras,Indoor Games Room,Guest Suite,Reticulated Gas Supply,Sign Boards,Letter box,Solar systems
1,595,2022-04-06 00:00:00,2023-06-20 00:00:00,1,1,1BHK,560,8,0,0,2021-02-18 15:57:00,80,80,70,120,890,1137,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,601,2019-06-30 00:00:00,2023-12-31 00:00:00,2,2,2BHK,80.39,1,1,1,2023-01-11 12:28:00,0,7.03,19.45,24.44,138.19,1138,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,601,2019-06-30 00:00:00,2023-12-31 00:00:00,2,2,2BHK,80.39,10,7,0.7,2023-01-11 12:28:00,0,7.03,0,24.44,118.74,1138,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,601,2019-06-30 00:00:00,2023-12-31 00:00:00,2,2,3BHK,110.26,1,1,1,2023-01-11 12:28:00,0,5.07,73.23,32.72,232.18,1139,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,601,2019-06-30 00:00:00,2023-12-31 00:00:00,2,2,3BHK,110.24,1,1,1,2023-01-11 12:28:00,0,6.9,34.12,32.85,193.69,1139,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,601,2019-06-30 00:00:00,2023-12-31 00:00:00,2,2,3BHK,110.26,10,4,0.4,2023-01-11 12:28:00,0,5.07,0,32.72,158.95,1139,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,601,2019-06-30 00:00:00,2023-12-31 00:00:00,2,2,3BHK,110.24,10,3,0.3,2023-01-11 12:28:00,0,6.9,0,32.85,159.57,1139,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,601,2019-12-01 00:00:00,2023-05-29 00:00:00,3,3,3BHK,93,1,1,1,2023-01-07 10:50:00,6,0,9,37,145,1139,0,0,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,601,2019-06-01 00:00:00,2023-12-30 00:00:00,5,5,2BHK,67.23,12,1,0.08333333333,2023-01-31 21:49:00,0,4.08,0,27.15,104.72,1138,0,0,1,1,1,1,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,601,2019-06-01 00:00:00,2023-12-30 00:00:00,5,5,2BHK,71.93,12,1,0.08333333333,2023-01-31 21:49:00,0,10.1,0,31.2,120.01,1138,6.87,0,1,1,1,1,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
